Link,Title,Rating,Price,NoReviews
./page13_files/A1wConXfDwL._AC_UY218_.jpg,"Amazon Basics- Laptop Messenger Bag for 13.3-Inch, 14-Inch, 15.6 -Inch Laptop Bag for Men and Women",3.9 out of 5 stars,699,39
./page13_files/71e950yUOAS._AC_UY218_.jpg,30 L Waterproof Laptop/College/School/Office Bag Backpack for Men Women Boys Girls with Rain Cover (Navy_Blue),5.0 out of 5 stars,499,1
./page13_files/61eX3+oTzoL._AC_UY218_.jpg,"POLESTAR Noble 32 L Bag for College, School, Office, Casual Multipurpose Backpack with 15.6"" Laptop Compartment, Water Resistant, Unisex Design, Stylish & Durable, 1 Year Warranty",3.9 out of 5 stars,579,"17,556"
./page13_files/61AUDJfSZCS._AC_UY218_.jpg,"Wearslim Gym Bag, Sports Edition PU Leather Gym Duffel Bag, Crossbody Bag, Gym Yoga Bag, Travel Shoulder Bag for Men and Women - Black",5.0 out of 5 stars,299,1
./page13_files/71p7zZdpNeL._AC_UY218_.jpg,"Storite Nylon 40 Cm Imported Travel Duffle Bag, Expandable Folding Travel Bag for Women, Lightweight Waterproof Carry Weekender Overnight Luggage Bag for Travel (Pink, 40 x 23 x 45 Cm)",4.1 out of 5 stars,998,653
./page13_files/51r5YqOWlyL._AC_UY218_.jpg,MI Business Casual 21L Water Resistant Laptop Backpack,4.4 out of 5 stars,999,"4,403"
./page13_files/71Md-FyPAuL._AC_UY218_.jpg,Half Moon Aztec 37L School Bag Class 5-12 | College Bagpack for Men/College Back pack for Women | 15.6 inch Laptop Bag for Men/Backpack for Men | Spacious & Multiple Pockets,4.5 out of 5 stars,549,14
./page13_files/718UPZq-bVL._AC_UY218_.jpg,Beauty Girls-1518 Polyester Floral printed Designer Stylish Waterproof School/Collage/Picknic Bag-Backpack For Girls & Women (32 Lit),4.4 out of 5 stars,798,"1,067"
./page13_files/51J8g7y1NmL._AC_UY218_.jpg,Birthday Popper Drawstring Sack Bag (Set of 15) Birthday Return Gifts for All Age Group,4.0 out of 5 stars,599,795
./page13_files/91ZCIzXYaQL._AC_UY218_.jpg,DAHSHA Stylish Nylon Sling Cross Body Travel Bag for Business Office Messenger One Side Shoulder Carry Handbag Bag For Men & Women (35X18x25 CM-grey),3.9 out of 5 stars,694,392
./page13_files/61FoJaZesmL._AC_UY218_.jpg,"Arctic Hunter Backpack,Original 41L Expandable Laptop Bag Business Travel Backpack with 17 inch Laptop Pocket 3 in 1 Convertible Laptop Backpack Tech Bag with USB Charging Port Water-resistant Multiple Compartments Large Capacity Bag for Men Women Travel Business College",4.5 out of 5 stars,"3,419",490
./page13_files/61d8wLSshUL._AC_UY218_.jpg,Puma Unisex Gym Bag IND,4.0 out of 5 stars,619,443
./page13_files/91HSd3JvVsL._AC_UY218_.jpg,"Hammonds Flycatcher Genuine Leather Laptop Bag for Men/Office Bag for Men, Brown | Fits Upto 16 Inch Laptop/MacBook | Leather Bag with Shoulder Straps | Laptop Messenger Bag/Leather Bag for Men",4.4 out of 5 stars,"2,899","2,412"
./page13_files/41eyD3UyP5L._AC_UY218_.jpg,SKYBAGS Campus Grey Logo Print College Laptop Backpack 30L,4.2 out of 5 stars,"1,899",291
./page13_files/61N8B32dFVL._AC_UY218_.jpg,"URBAN TRIBE Havana Backpack for Men & Women | Laptop Bag 15.6 inch | Office Work/Casual/College Bag | Black, 27L",3.9 out of 5 stars,858,754
./page13_files/51J5S2e-J0L._AC_UY218_.jpg,"Puma Unisex-Adult Big Cat Backpack, Fizzy Apple (9018404)",,999,M.R.P: 
