Link,Title,Rating,Price,NoReviews
./page16_files/51yld7nYqmL._AC_UY218_.jpg,"uppercase Medium 17 Ltrs Vegan Leather (upto 14 inch) Laptop Backpack 2300EBP1 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",4.1 out of 5 stars,"1,600",440
./page16_files/81uoDfmgNnL._AC_UY218_.jpg,"F Gear Talent Laptop Backpack With Rain Cover 32 Liters (Grey,Black)",4.4 out of 5 stars,"1,370","1,124"
./page16_files/41bZUS99dpL._AC_UY218_.jpg,"Red Lemon Swiss Cut Design 15.6 Inch Smart Laptop Backpack Bag With USB Charging Port, Anti Theft Pocket and Accessories Organiser for Men Women Boys Girls",4.4 out of 5 stars,"1,899",894
./page16_files/91mebI04InL._AC_UY218_.jpg,American Tourister SPIN LAPTOP BACKPACK 28L POLYESTER BLACK,2.8 out of 5 stars,"1,399",15
./page16_files/617KfT7abvL._AC_UY218_.jpg,Red Lemon Arctic Hunter Mens Small Sling Bag Chest Bag Shoulder Bag Mobile Bag Side Bag with Earphone Port Water Resistant for Everyday Use Small Items and Small Electronic Product (Black),3.6 out of 5 stars,"1,299",6
./page16_files/91rbA3MpMWL._AC_UY218_.jpg,American Tourister Spin 49 cms Black Laptop Backpack (FS0 (0) 09 002),4.2 out of 5 stars,"1,660","1,215"
./page16_files/91gdyOc4OnL._AC_UY218_.jpg,"DERBEN CLOVE® 15.6 Men and Women Laptop, MacBook Shoulder Messenger Sling Office Bag - Grey",4.1 out of 5 stars,899,144
./page16_files/61MzQoxMRiL._AC_UY218_.jpg,Tabelito® VOLT Casual waterproof Laptop Backpack/Office bag/School bag/College bag/Business bag/Unisex bag Travel bag Compatible with 15.6 inch Laptop 30L Bag for Men and Women - GREY,4.8 out of 5 stars,599,175
./page16_files/81hBdD75h+L._AC_UY218_.jpg,"URBAN CARRIER Unisex Waterproof Medium Laptop Backpack for School and Colleges (Grey, Large, 45 Liters)",3.9 out of 5 stars,559,258
./page16_files/71deOqgJ18S._AC_UY218_.jpg,"DIVULGE Multi Utility Drawstring Bag (Black , 16 L)",4.0 out of 5 stars,153,"1,097"
./page16_files/81syB33e2OL._AC_UY218_.jpg,F Gear Luxur Anti Theft 25 Liters Laptop Backpack (Black),4.3 out of 5 stars,"1,238",487
./page16_files/71EG4UFwENL._AC_UY218_.jpg,HEROZ Hammer Unisex Nylon 45 L Travel Laptop Backpack Water Resistant Slim Durable Fits Up to 17.3 Inch Laptop Notebook (All) (Grey & Black),4.3 out of 5 stars,"1,499","7,877"
./page16_files/51Zl4eoo86L._AC_UY218_.jpg,"American Tourister Sest+ Polyester 2 Compartment Unisex Backpack (Grey,Frsz)",4.1 out of 5 stars,"1,429",9
./page16_files/71LXnc67aeL._AC_UY218_.jpg,"ZOUK Laptop Bag for Women - Handmade Bag for 15.6 inch Laptop, MacBook - Vegan Leather Office Bags with Detachable Shoulder Strap - Perfect Handbag for Ladies - Spacechakra Print",4.2 out of 5 stars,"2,199",52
./page16_files/81u8+avUnmL._AC_UY218_.jpg,Priority ARC 56 cm Red Polyester 2 Wheel Duffle Trolley Bag | Travel Luggage for Men & Women,4.0 out of 5 stars,421.,289
./page16_files/81hF2cHrNAS._AC_UY218_.jpg,"Safari 48 Cms Black Formal/Office/Laptop Backpack With Anti-Theft, Lock, Usb And Rfid (Vault19Cbblk)",4.0 out of 5 stars,"1,157",851
