Link,Title,Rating,Price,NoReviews
./page15_files/71CWGPiBiQS._AC_UY218_.jpg,F Gear Colorado Navy Lmn yelw 39 Ltrs Laptop Backpack (3813),4.2 out of 5 stars,999,100
./page15_files/81xQrNTXWbL._AC_UY218_.jpg,Protecta The Professional Laptop Bag Briefcase for Laptops with Screen Size Up to 15.6 Inch (Black & Indian Geometric Print),4.4 out of 5 stars,669,"1,443"
./page15_files/713I5IwyrfL._AC_UY218_.jpg,"FUR JADEN 35L Weekender Travel Laptop Backpack Bag with USB Charging Port, Dual Handles, Padded Laptop Compartment",4.5 out of 5 stars,"1,499",43
./page15_files/91cSvgf7TSL._AC_UY218_.jpg,AmazonBasics - Casual Backpack/Office Bag/ for a 15.6-inch Laptop,4.2 out of 5 stars,699,533
./page15_files/91QTZkurCuL._AC_UY218_.jpg,Gear ECO1 24L Water Resistant Laptop Bag/Backpack/Office Bag for Men/Women- Grey-Black-Yellow,4.2 out of 5 stars,852,"1,443"
./page15_files/81Q033EGX0L._AC_UY218_.jpg,WildHorn® Leather 8.5 inch Sling Messenger Bag for Men I Multipurpose Crossbody Bag I Travel Bag with Adjustable Strap I DIMENSION: L- 8.5inch H- 10.5inch W- 3inch,4.1 out of 5 stars,"1,919",747
./page15_files/918H39+3PgL._AC_UY218_.jpg,"Hammonds Flycatcher Genuine Leather Laptop Bag for Men/Office Bag for Men, Brown | Fits Upto 14 Inch Laptop/MacBook | Leather Bag with Shoulder Straps | Laptop Messenger Bag/Leather Bag for Men |",4.4 out of 5 stars,"2,389","1,657"
./page15_files/71sDfFcNodL._AC_UY218_.jpg,Priority Polyester 29 Cms Travel Duffle(25637_Aqua),4.0 out of 5 stars,799,"7,835"
./page15_files/510gLsINpsL._AC_UY218_.jpg,Red Lemon Bange Hard Ironlook Briefcase Laptop Bag Anti-Theft Hard Shell Unisex Laptop Backpack with USB Charging Backpack for Men and Women,4.4 out of 5 stars,"4,990",80
./page15_files/719So5-feUL._AC_UY218_.jpg,Skybags Unisex Grey Jacqard 34L Laptop Bags,3.7 out of 5 stars,"1,149",42
./page15_files/81ENsMZ1CNL._AC_UY218_.jpg,Wildcraft 44 cms Polyester Black Laptop Bag (8903338054290),4.3 out of 5 stars,"1,589",652
./page15_files/81qyZqCUjbL._AC_UY218_.jpg,"SIDRUM WF-18 DSLR/SLR Camera Shoulder Bag Case with Adjustable Shoulder Strap & Rain Cover, Compatible for Nikon, Canon, Sony Mirrorless Cameras - Waterproof - Breathable - Anti Shock (Orange-Black)",4.4 out of 5 stars,699,"1,095"
./page15_files/81BlcWflOTL._AC_UY218_.jpg,Amaze Style 25 L Casual Waterproof 14 inch Laptop Bag/Backpack for Men Women Boys Girls/Office School College Teens & Students (C Green),4.0 out of 5 stars,309,10
./page15_files/71eHC9b52VL._AC_UY218_.jpg,Fostelo Handbag For Women And Girls | Ladies Purse Faux Leather Satchel Bag | Woman Gifts | Wedding Gifts For Women | Women 2 Compartments Bag | Travel Purse Hobo Bag | 3 Pockets Shoulder Bag,3.8 out of 5 stars,669,"1,291"
./page15_files/71rbnnW7dbL._AC_UY218_.jpg,HEROZ Harbour Unisex Nylon 28 L Travel Laptop Backpack Water Resistant Slim Durable Fits Up to 15.6 Inch Laptop Notebook (153-ALL) (Air Force Blue),4.1 out of 5 stars,841,"5,918"
./page15_files/811ekr97hhL._AC_UY218_.jpg,Gear Bounce 27 Ltrs Water Resistant School Bag/Backpack/College Bag for Men/Women-Grey Orange,3.6 out of 5 stars,615,422
