Link,Title,Rating,Price,NoReviews
./page14_files/81OR7kKwObL._AC_UY218_.jpg,Lavie Sport Charge 36 litres Backpack with Laptop Sleeve | School College Bag for Boys & Girls,3.9 out of 5 stars,839,298
./page14_files/71-j-+zb8tL._AC_UY218_.jpg,"ah arctic hunter Laptop Bag,Messenger Bags For Men And Women Laptop Sling Bag With Handle Water-resistant Laptop Briefcase For 15.6 Inch Laptop Multiple Pockets Travel Office For Men.Black",4.5 out of 5 stars,"2,849",72
./page14_files/51J5S2e-J0L._AC_UY218_.jpg,"Puma Unisex-Adult Big Cat Backpack, Fizzy Apple (9018404)",,999,M.R.P: 
./page14_files/918itYk3Q+L._AC_UY218_.jpg,Half Moon 35 L Casual Waterproof Laptop Bag/Backpack for Men Women Boys Girls/Office School College Teens & Students with Rain Cover (18 Inch) (Sky Blue),3.6 out of 5 stars,599,54
./page14_files/61uL5-MKD1L._AC_UY218_.jpg,Arctic Fox 27 Liters Chrome Black 15 Inch Laptop Backpack,4.5 out of 5 stars,"1,599",45
./page14_files/51Q1+KQQCGL._AC_UY218_.jpg,ADISA 32L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Navy),4.0 out of 5 stars,599,22
./page14_files/51vcPY3YleL._AC_UY218_.jpg,Lino Perros Women Shoulder Bag,4.2 out of 5 stars,978,334
./page14_files/61RNoKcilbL._AC_UY218_.jpg,F Gear Burner P8 19 Ltrs White Casual Laptop Backpack,4.3 out of 5 stars,714.,"3,953"
./page14_files/41xUEiAST9L._AC_UY218_.jpg,Toil Moil Combo 4 Bag Panda Cute Kitty Mickey Red-Spider of Kids Bags for School 10Ltr,4.5 out of 5 stars,374,5
./page14_files/91bzxvU2ZuL._AC_UY218_.jpg,"Bennett 15.6 inch Laptop Bag Men/Women, 25 L Water Resistant School/College Backpack with Padded Laptop Compartment for Apple/Dell/Lenovo/Asus/Hp/Mi/MacBook/Ultrabook/Thinkpad/Ideapad (Blue)",3.9 out of 5 stars,512,573
./page14_files/61+qZkVp3aL._AC_UY218_.jpg,"The Deal Men's 15.6 Inch Polyester Casual Laptop Backpack, Travel Computer Bag Water Resistant College Work School Bag (Blue)",3.4 out of 5 stars,399,476
./page14_files/61Lg4mdxwrL._AC_UY218_.jpg,"Safari Seek 32 Ltrs Overnighter Travel Laptop Backpack (Blue), Water Resistant Spacious Bag for Travelling and Camping, All-Purpose Bag for Business & Leisure",4.3 out of 5 stars,"1,899",113
./page14_files/713e-9wpxqL._AC_UY218_.jpg,Martucci Jersey 45L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,3.7 out of 5 stars,809,47
./page14_files/61M8Z8FrhEL._AC_UY218_.jpg,"WALKENT Premium 15.6 Inch Large Laptop Bag , Vegan Leather, Waterproof, External USB, Trolley Strap, Cushioned Strap, Scratch Resistant for Men, Women - Ritzy (Large, 28 Ltr, 1 Main Compartment & 7 Pockets)",4.3 out of 5 stars,"2,990",100
./page14_files/91RPDOxglWL._AC_UY218_.jpg,Wildcraft Unisex-Adult 28 ltrs Laptop Bag Black,4.2 out of 5 stars,"1,724",457
./page14_files/61dTpUClVBL._AC_UY218_.jpg,Aristocrat Polyester Hard 60 Cms Luggage- Suitcase(Dfroo62Etbl_Teal Blue),4.0 out of 5 stars,999,562
