Link,Title,Rating,Price,NoReviews
./page10_files/51mSE2hhOOL._AC_UY218_.jpg,TRUE HUMAN Anti-Theft and USB charging port backpack with security lock Laptop bag|office bag| for men and women (Grey),3.8 out of 5 stars,585,"1,779"
./page10_files/61143gRC6bL._AC_UY218_.jpg,DZert Kids School Bag Soft Plush Backpacks Cartoon Boys Girls Baby (2-5 Years),3.7 out of 5 stars,239,"11,592"
./page10_files/81iGsmYB9SL._AC_UY218_.jpg,F Gear Burner Art Lthr Black 22 Ltrs Laptop Backpack (3344),4.2 out of 5 stars,978,457
./page10_files/81lmVwX3PiL._AC_UY218_.jpg,motherly Diaper Bags for Mom Travel Basic Edition (Navy Blue),4.5 out of 5 stars,"1,549","2,480"
./page10_files/610lxh8jmzL._AC_UY218_.jpg,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",4.6 out of 5 stars,799,100
./page10_files/81SHP7loEqL._AC_UY218_.jpg,Wooum Anti Theft Laptop Bag - Backpack For Laptop and Tablet of 15.6 Inch Thick Padded Compartment - Light Weight - Water Resistance – Anti Theft (Black),4.8 out of 5 stars,474,7
./page10_files/71h9qcmWUiL._AC_UY218_.jpg,Okami ZenPack UNO Minimal Laptop Messenger Bag X Briefcase,4.3 out of 5 stars,"1,999",18
./page10_files/61Gwt4JkRWL._AC_UY218_.jpg,"Amazon Brand - Solimo Rain & Dust Cover for Backpack (30 Litres, Black)",4.2 out of 5 stars,209,"8,468"
./page10_files/71PV9z4Xi9L._AC_UY218_.jpg,"MOKOBARA The Work Backpack 15.6"" Inch Laptop | Travel Backpack For Men And Women",4.5 out of 5 stars,"7,499",51
./page10_files/91QgFqkAUIL._AC_UY218_.jpg,Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Tan,4.4 out of 5 stars,990,"2,419"
./page10_files/71cf0bn9a7L._AC_UY218_.jpg,COSMUS Vogue Casual Laptop Backpack with USB Charger Port 46cm 26 Litre Maroon College Bag,4.2 out of 5 stars,"1,261","1,390"
./page10_files/71AiQSn1bNL._AC_UY218_.jpg,"COSMUS Madison waterproof Multipurpose Backpack With laptop compartment , 33L",4.2 out of 5 stars,"1,420","2,231"
./page10_files/91Y6K2j9pcL._AC_UY218_.jpg,"Storite Stylish Multi-Pocket Small Sling Cross Body Travel Messenger One Side Shoulder Bag for Men & Women (Brown, 20.5x9x16.5cm)",4.0 out of 5 stars,798,864
./page10_files/61Y8UzB-zJL._AC_UY218_.jpg,NETTIE Cotton Carry Bag with Strap and Drawstring for Yoga Mat- Big Size,4.1 out of 5 stars,198,"1,066"
./page10_files/71eKDQDNPoL._AC_UY218_.jpg,Cosmus Vogue Casual Laptop Backpack with USB Charger Port 46cm 26 Litre Navy College Bag,4.2 out of 5 stars,"1,328","1,390"
./page10_files/61ed7bjkpmL._AC_UY218_.jpg,Wildcraft Casual backpack 45L (12956),4.5 out of 5 stars,"1,549",2
