Link,Title,Rating,Price,NoReviews
./page4_files/51Rdzmk4wzL._AC_UY218_.jpg,ADISA 32L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Green),3.8 out of 5 stars,599,141
./page4_files/71FRRQKKSSL._AC_UY218_.jpg,"Mi Step Out 12 L Mini Backpack (Small Size, Dark Blue, Water Repellant)",4.1 out of 5 stars,398,"8,997"
./page4_files/71jO5xCQCYS._AC_UY218_.jpg,F Gear Colorado Grey Orange 39 Ltrs Laptop Backpack (3814),4.3 out of 5 stars,895,156
./page4_files/81kiA9M+IoL._AC_UY218_.jpg,TRAWOC 80L Travel Backpack for Outdoor Sport Camp Hiking Trekking Bag Camping Rucksack HK007 (PARENT) 1 Year Warranty,4.4 out of 5 stars,"2,332","7,201"
./page4_files/81twmbR442L._AC_UY218_.jpg,"WILDHORN 31L Laptop Backpack for Men/Women I Fits upto 15.6"" Laptop I Waterproof I Travel/Business/College Bookbags",4.0 out of 5 stars,599,"1,234"
./page4_files/71B9yD-tdNL._AC_UY218_.jpg,"Fur Jaden 15.6 Inch Laptop Backpack 25 LTR Bag for School, College and Office with USB Charging Port",3.9 out of 5 stars,499,"10,167"
./page4_files/61ORzrUMVrL._AC_UY218_.jpg,"TRUE HUMAN® Emperor Anti-Theft Pocket backpack With USB charging Port Laptop,office,college,travel bag for men and women(Epower)",3.5 out of 5 stars,649,33
./page4_files/611asJZi7OS._AC_UY218_.jpg,Northzone Lightweight school bags Backpacks for Boys Girls Stylish men and women Casual Travel Laptop Bag College office (Black) 40L,3.9 out of 5 stars,426,70
./page4_files/51i9ODagRZL._AC_UY218_.jpg,NIVIA Beast Gym Bag-4 Polyester/Unisex Gym Bags/Shoulder Bag for Men & Women with Separate Shoes Compartment/Carry Gym Accessories/Fitness Bag/Sports & Travel Bag/Sports Kit,4.2 out of 5 stars,409,"3,290"
./page4_files/61xfg-k0ngL._AC_UY218_.jpg,"Genie Glitter Backpack for Women - 3 compartments, Laptop Bags for Girls, Stylish and Trendy College Backpacks for Girls, Water Resistant and Lightweight Bags for Office and Travelling Purpose.",4.3 out of 5 stars,889,679
./page4_files/81D7Ahk9ByL._AC_UY218_.jpg,Half Moon 45L Hammer Waterproof Laptop Travelling Rucksack Trekking Backpack for Travel Journey bags for Men Women Boys & Girls with 17.3inch Laptop Compartment & Rain cover,4.1 out of 5 stars,"1,199","1,221"
./page4_files/91RcOs7rSHL._AC_UY218_.jpg,"Hammonds Flycatcher Genuine Leather Laptop Bag for Men/Office Bag for Men, Brown | Fits Upto 16 Inch Laptop/MacBook| Leather Bag with Shoulder Straps | Laptop Messenger Bag/Leather Bag for Men |",4.3 out of 5 stars,"2,591","4,893"
./page4_files/51vS5vk8WYL._AC_UY218_.jpg,"HARISSONS Bags Vervo 15.6-inch Laptop/Travel/Casual Backpack for Men and Women with Rain Cover (Black, 40 Ltrs) | Quick Access Zippered Pocket, Detailed Organizers & a Detachable Key Chain Holder",4.3 out of 5 stars,"2,960","1,976"
./page4_files/71OgepF3-9L._AC_UY218_.jpg,"AirCase Laptop Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather",3.8 out of 5 stars,918,806
./page4_files/71KxRnKeWuL._AC_UY218_.jpg,Half Moon Aztec 37L School Bag Class 5-12 | College Bagpack for Men/College Back pack for Women | 15.6 inch Laptop Bag for Men/Backpack for Men | Spacious & Multiple Pockets,4.5 out of 5 stars,549,14
./page4_files/91ZZkz9sIBL._AC_UY218_.jpg,"Tabelito® Casual Laptop Bag 15.6inch (39.6 cm) , 25 LTR Office College School Bags Business Travel Backpack for Men Women Water Resistant Bags(BLACK)",4.1 out of 5 stars,549,"1,733"
