Link,Title,Rating,Price,NoReviews
./page11_files/91TSlcLwsSL._AC_UY218_.jpg,Amazon Basics 20 ltrs Casual/Travel/College Backpack for 15.6-inch Laptop | Water Resistant Fabric,4.2 out of 5 stars,459,533
./page11_files/91K1GFTMIRL._AC_UY218_.jpg,Aristrocrat Unisex Laptop Bag Grey,4.4 out of 5 stars,799,24
./page11_files/910r+B15U8L._AC_UY218_.jpg,"F Gear Blow Laptop Backpack With Rain Cover 32 Liters (Black,Grey) Sch Bag",4.3 out of 5 stars,"1,099","1,276"
./page11_files/71VJH6vFAcL._AC_UY218_.jpg,FUR JADEN Vegan Leather 30L 15.6 Inch Laptop Backpack for Men Women for Office Professionals and College Students,4.2 out of 5 stars,899,"2,291"
./page11_files/71AiQSn1bNL._AC_UY218_.jpg,"COSMUS Madison waterproof Multipurpose Backpack With laptop compartment , 33L",4.2 out of 5 stars,"1,420","2,231"
./page11_files/91Nde1bz2PL._AC_UY218_.jpg,Asus ROG BP1501 39.62 cm (15.6-inch) Gaming Laptop Backpack (Black),4.3 out of 5 stars,"1,499",925
./page11_files/61ed7bjkpmL._AC_UY218_.jpg,Wildcraft Casual backpack 45L (12956),4.5 out of 5 stars,"1,549",2
./page11_files/71nMRqxfb6L._AC_UY218_.jpg,F Gear Enzo Sports Waist Bag (.Black Blue),4.2 out of 5 stars,148,"1,190"
./page11_files/7171Vb4XGEL._AC_UY218_.jpg,ADISA Light Weight Laptop Backpack 32 Ltrs,4.0 out of 5 stars,499,"5,860"
./page11_files/91Ov-x9d3qL._AC_UY218_.jpg,"SFANE Polyester 23 cms Navy Blue Gym Bag, Shoulder Bag, Sports Bag for Men & Women with Separate Shoes Compartment (Blue)",4.4 out of 5 stars,437,"2,723"
./page11_files/91q+TrsI7iL._AC_UY218_.jpg,Gear ECO 1 Black Orange Red Laptop Backpack,4.3 out of 5 stars,852,"1,379"
./page11_files/71aaWvb6OeL._AC_UY218_.jpg,CAPRIFF 32 L Casual Waterproof Laptop Bag/Backpack for Men Boys & Girls For Office School College Teens & Students with Rain Cover With adjustable Strap With 2 Compartment,3.8 out of 5 stars,499,"3,029"
./page11_files/51tVsLh1HaL._AC_UY218_.jpg,Lify Women's Retro Large Size Canvas Shoulder Bag Hobo Crossbody Handbag Casual Tote - 1 Piece,3.8 out of 5 stars,320,"1,491"
./page11_files/61hh6YkPnlL._AC_UY218_.jpg,"Safari Seek 32 Ltrs Overnighter Travel Laptop Backpack (Black), Water Resistant Spacious Bag for Travelling and Camping, All-Purpose Bag for Business & Leisure",4.3 out of 5 stars,"1,949",176
./page11_files/916hzpKAQtL._AC_UY218_.jpg,Gear Moderneco5 21L Water Resistant School Bag/Backpack/College Bag For Men/Women - Navyblue,3.9 out of 5 stars,420,"2,603"
./page11_files/71N1yWUKwPL._AC_UY218_.jpg,"F Gear Fortune Navy Blue, Red 27 Liters Laptop Backpack (2700)",4.1 out of 5 stars,884,497
