Link,Title,Rating,Price,NoReviews
./page5_files/61kICUQZjkL._AC_UY218_.jpg,Half Moon Strike 35L Unisex Spacious School/Laptop/College/Office Travel Backpack Bag for Men Women Boys & Girls with 15.6 inch Padded Laptop Compartment & Multiple Pockets,3.8 out of 5 stars,649,465
./page5_files/91FK74bRReL._AC_UY218_.jpg,Gear Vintage2 Anti Theft Faux Leather 18 cms Tan Laptop Backpack,4.3 out of 5 stars,836,"1,555"
./page5_files/91yXbVN16ML._AC_UY218_.jpg,Trajectory 15.6 Inch Vegan Leather Messenger Laptop bag for men in Office for all laptop like Apple MacBook with 2 Years Warranty and Spacious Multiple Compartment with Expandable Bottom Used as Shoulder and Handbag for Men,4.1 out of 5 stars,"1,399",392
./page5_files/915EZvywT4L._AC_UY218_.jpg,Gear Vintage2 28L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Black,4.4 out of 5 stars,990,"1,770"
./page5_files/61AmnJliIGL._AC_UY218_.jpg,"Lenovo 15.6"" Professional Backpack, Made in India, Water-resistant,Uncompromised storage, Travel friendly:Fleece-lined PC compartment,Vented,Padded BackPanel & Adjustable shoulder straps,Luggage strap",4.2 out of 5 stars,700,755
./page5_files/71YGCNRAesL._AC_UY218_.jpg,ADISA Women Girls Floral Print Sling Bag,4.3 out of 5 stars,495,511
./page5_files/61MUbvslk2L._AC_UY218_.jpg,"Lenovo 15.6"" Casual Backpack B210",4.2 out of 5 stars,749,"26,981"
./page5_files/61gL6wcGLNL._AC_UY218_.jpg,"MOKOBARA Backpack 15.5"" Inch Laptop Backpack For Women (16 litres ) Improved (2022 - Model)",4.3 out of 5 stars,"4,499",168
./page5_files/61uDtI51IFL._AC_UY218_.jpg,"Safari Spartan 21 Ltrs Water Resistant Backpack - Teal, S (SPARTAN19CBTEA)",3.8 out of 5 stars,599,765
./page5_files/81WAXJkLHZL._AC_UY218_.jpg,Wesley Milestone 15.6 inch 25 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack (Black),4.3 out of 5 stars,497,"12,760"
./page5_files/715B2hG++tL._AC_UY218_.jpg,Kore Regular Gym Bag,2.6 out of 5 stars,59,"1,740"
./page5_files/81scetteLLL._AC_UY218_.jpg,ADISA Large Laptop Backpack Office Bag College Travel Back Pack with USB (Black),4.0 out of 5 stars,499,39
./page5_files/51P7dQWTlSL._AC_UY218_.jpg,ADISA 32L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Black),3.8 out of 5 stars,599,141
./page5_files/91J--cwKOSL._AC_UY218_.jpg,Tabelito® Casual 15.6 Inch (39.6 cm) Water Repellent Laptop Backpack Office College School Business Travel Bag Suitable for Men Women Boys & Girls Capacity 25 Litre (Grey),4.1 out of 5 stars,549,"1,733"
./page5_files/711zRBnExVL._AC_UY218_.jpg,Arctic Hunter Laptop Bag Expandable Backpack for 16 inch Lapotp 40L Travel Backpack Water-resistant Business School Backpack with USB Port for Men and Women,4.5 out of 5 stars,"3,514",52
./page5_files/71uHhX8iPaL._AC_UY218_.jpg,Tabelito® Laptop Bag For Men and women Briefcase 15.6 Inch (39.6 cm) Messenger Side Shoulder Travel bags for mens Water Resistant gifts office bag for men,4.0 out of 5 stars,549,"2,560"
